Column,Base,Aryl Halide
1,P2Et,1
2,P2Et,2
3,P2Et,3
4,P2Et,4
5,P2Et,5
6,P2Et,6
7,P2Et,7
8,P2Et,8
9,P2Et,9
10,P2Et,10
11,P2Et,11
12,P2Et,12
13,P2Et,13
14,P2Et,14
15,P2Et,15
16,P2Et,
17,BTMG,1
18,BTMG,2
19,BTMG,3
20,BTMG,4
21,BTMG,5
22,BTMG,6
23,BTMG,7
24,BTMG,8
25,BTMG,9
26,BTMG,10
27,BTMG,11
28,BTMG,12
29,BTMG,13
30,BTMG,14
31,BTMG,15
32,BTMG,
33,MTBD,1
34,MTBD,2
35,MTBD,3
36,MTBD,4
37,MTBD,5
38,MTBD,6
39,MTBD,7
40,MTBD,8
41,MTBD,9
42,MTBD,10
43,MTBD,11
44,MTBD,12
45,MTBD,13
46,MTBD,14
47,MTBD,15
48,MTBD,